Document,L0 Out of Scope-L0 Out of Scope,L0 Out of Scope-L0 Heading,L0 Out of Scope-L1 Background,L0 Out of Scope-L1 Analysis,L0 Out of Scope-L2 Introductory Summary,L0 Out of Scope-L2 Outcome,L0 Out of Scope-Not Marked,L0 Heading-L0 Out of Scope,L0 Heading-L0 Heading,L0 Heading-L1 Background,L0 Heading-L1 Analysis,L0 Heading-L2 Introductory Summary,L0 Heading-L2 Outcome,L0 Heading-Not Marked,L1 Background-L0 Out of Scope,L1 Background-L0 Heading,L1 Background-L1 Background,L1 Background-L1 Analysis,L1 Background-L2 Introductory Summary,L1 Background-L2 Outcome,L1 Background-Not Marked,L1 Analysis-L0 Out of Scope,L1 Analysis-L0 Heading,L1 Analysis-L1 Background,L1 Analysis-L1 Analysis,L1 Analysis-L2 Introductory Summary,L1 Analysis-L2 Outcome,L1 Analysis-Not Marked,L2 Introductory Summary-L0 Out of Scope,L2 Introductory Summary-L0 Heading,L2 Introductory Summary-L1 Background,L2 Introductory Summary-L1 Analysis,L2 Introductory Summary-L2 Introductory Summary,L2 Introductory Summary-L2 Outcome,L2 Introductory Summary-Not Marked,L2 Outcome-L0 Out of Scope,L2 Outcome-L0 Heading,L2 Outcome-L1 Background,L2 Outcome-L1 Analysis,L2 Outcome-L2 Introductory Summary,L2 Outcome-L2 Outcome,L2 Outcome-Not Marked,Not Marked-L0 Out of Scope,Not Marked-L0 Heading,Not Marked-L1 Background,Not Marked-L1 Analysis,Not Marked-L2 Introductory Summary,Not Marked-L2 Outcome,Not Marked-Not Marked
Czech_Republic-CZ-1-99.txt,1230,0,0,0,0,0,4,15,21,0,0,0,0,8,657,0,6888,0,0,0,8,74,0,0,10702,0,0,6,0,0,0,0,0,0,0,0,0,0,896,0,0,0,5,0,0,0,0,0,9
Czech_Republic-CZ-1-100.txt,639,0,0,0,0,0,1113,15,21,1,0,0,0,1,2186,0,12405,0,0,0,8,125,0,0,11708,0,0,7,0,0,0,0,0,0,0,0,0,0,211,0,0,0,4,0,0,0,0,0,7
Czech_Republic-CZ-1-81.txt,691,0,0,0,0,0,7,12,11,1,0,0,0,0,2966,0,10773,0,0,0,11,107,0,0,9364,0,205,5,0,0,0,0,0,0,0,0,0,0,0,0,202,1,4,0,0,0,0,0,11
Czech_Republic-CZ-1-82.txt,894,0,0,0,0,0,4,12,21,2,0,0,0,1,667,0,8434,0,0,0,8,79,0,0,12962,0,0,6,0,0,0,0,0,0,0,0,0,0,2074,0,0,6,6,0,0,0,0,0,6
Czech_Republic-CZ-1-86.txt,897,0,0,0,0,0,15,12,21,1,0,0,0,0,95,0,9418,0,0,0,12,148,0,0,32469,0,0,6,0,0,0,0,0,0,0,0,0,0,1082,0,0,0,5,0,0,0,0,0,5
Czech_Republic-CZ-1-84.txt,1685,0,0,0,0,0,5,12,21,1,0,0,0,1,71,0,10559,0,0,0,6,130,0,0,26186,0,0,6,0,0,0,0,0,0,0,0,0,0,945,0,0,0,5,0,0,0,0,0,7
Czech_Republic-CZ-1-83.txt,567,0,0,0,0,0,4,13,21,1,0,0,0,1,70,0,3324,0,0,0,7,125,0,0,8533,0,0,7,0,0,0,0,0,0,0,0,0,0,890,0,0,0,6,0,0,0,0,0,6
Czech_Republic-CZ-1-85.txt,750,0,0,0,0,0,4,12,19,1,0,0,0,1,116,0,4930,11857,0,0,19,125,0,0,8274,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,468,1,6,0,0,5,0,0,2
Czech_Republic-CZ-1-88.txt,652,0,0,0,0,0,2,12,21,1,0,0,0,0,78,0,10138,0,0,0,8,76,0,0,17520,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,230,2,4,0,0,0,0,0,7
Czech_Republic-CZ-1-89.txt,693,0,0,0,0,0,3,12,21,1,0,0,0,0,79,0,2609,0,0,0,9,125,0,0,12196,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,553,3,6,0,0,0,0,0,7
